schema_name,table_name,constraint_name,constraint_type,condeferrable,condeferred,definition
auth,sso_providers,sso_providers_pkey,p,f,f,PRIMARY KEY (id)
auth,users,users_email_change_confirm_status_check,c,f,f,CHECK (email_change_confirm_status >= 0 AND email_change_confirm_status <= 2)
auth,users,users_phone_key,u,f,f,UNIQUE (phone)
auth,users,users_pkey,p,f,f,PRIMARY KEY (id)
auth,webauthn_challenges,webauthn_challenges_challenge_type_check,c,f,f,"CHECK (challenge_type = ANY (ARRAY['signup'::text, 'registration'::text, 'authentication'::text]))"
auth,webauthn_challenges,webauthn_challenges_pkey,p,f,f,PRIMARY KEY (id)
auth,webauthn_challenges,webauthn_challenges_user_id_fkey,f,f,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,webauthn_credentials,webauthn_credentials_pkey,p,f,f,PRIMARY KEY (id)
auth,webauthn_credentials,webauthn_credentials_user_id_fkey,f,f,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,blocked_handles,bh_handle_format,c,f,f,CHECK (handle ~ '^[a-zA-Z0-9_]+$'::text)
public,blocked_handles,bh_handle_length,c,f,f,CHECK (char_length(handle) >= 1 AND char_length(handle) <= 30)
public,blocked_handles,blocked_handles_handle_key,u,f,f,UNIQUE (handle)
public,blocked_handles,blocked_handles_pkey,p,f,f,PRIMARY KEY (id)
public,conversations,conversations_buyer_profile_id_fkey,f,f,f,FOREIGN KEY (buyer_profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,conversations,conversations_listing_id_fkey,f,f,f,FOREIGN KEY (listing_id) REFERENCES listings(id) ON DELETE SET NULL
public,conversations,conversations_pkey,p,f,f,PRIMARY KEY (id)
public,conversations,conversations_seller_profile_id_fkey,f,f,f,FOREIGN KEY (seller_profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,conversations,unique_conversation,u,f,f,"UNIQUE (listing_id, buyer_profile_id, seller_profile_id)"
public,event_notifications,event_notifications_event_id_fkey,f,f,f,FOREIGN KEY (event_id) REFERENCES events(id) ON DELETE CASCADE
public,event_notifications,event_notifications_pkey,p,f,f,PRIMARY KEY (id)
public,event_notifications,event_notifications_profile_id_event_id_key,u,f,f,"UNIQUE (profile_id, event_id)"
public,event_notifications,event_notifications_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,events,event_dates_valid,c,f,f,CHECK (end_date >= start_date)
public,events,event_name_length,c,f,f,CHECK (char_length(name) >= 3 AND char_length(name) <= 100)
public,events,event_slug_format,c,f,f,CHECK (slug ~ '^[a-z0-9-]+$'::text)
public,events,event_venue_length,c,f,f,CHECK (venue IS NULL OR char_length(venue) <= 200)
public,events,events_created_by_fkey,f,f,f,FOREIGN KEY (created_by) REFERENCES profiles(id)
public,events,events_pkey,p,f,f,PRIMARY KEY (id)
public,events,events_slug_key,u,f,f,UNIQUE (slug)
public,favorites,favorites_listing_id_fkey,f,f,f,FOREIGN KEY (listing_id) REFERENCES listings(id) ON DELETE CASCADE
public,favorites,favorites_pkey,p,f,f,PRIMARY KEY (id)
public,favorites,favorites_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,favorites,favorites_profile_id_listing_id_key,u,f,f,"UNIQUE (profile_id, listing_id)"
public,featured_sellers,featured_sellers_category_check,c,f,f,"CHECK (category = ANY (ARRAY['clothing'::text, 'accessories'::text, 'gear'::text, 'art'::text, 'other'::text]))"
public,featured_sellers,featured_sellers_pkey,p,f,f,PRIMARY KEY (id)
public,featured_sellers,featured_sellers_profile_id_category_key,u,f,f,"UNIQUE (profile_id, category)"
public,featured_sellers,featured_sellers_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,follows,follows_check,c,f,f,CHECK (follower_profile_id <> following_profile_id)
public,follows,follows_follower_profile_id_fkey,f,f,f,FOREIGN KEY (follower_profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,follows,follows_follower_profile_id_following_profile_id_key,u,f,f,"UNIQUE (follower_profile_id, following_profile_id)"
public,follows,follows_following_profile_id_fkey,f,f,f,FOREIGN KEY (following_profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,follows,follows_pkey,p,f,f,PRIMARY KEY (id)
public,listings,description_length,c,f,f,CHECK (char_length(description) >= 20 AND char_length(description) <= 2000)
public,listings,listings_pkey,p,f,f,PRIMARY KEY (id)
public,listings,listings_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,listings,price_range,c,f,f,CHECK (price >= 50 AND price <= 5000000)
public,listings,size_length,c,f,f,CHECK (char_length(size) >= 1 AND char_length(size) <= 20)
public,listings,title_length,c,f,f,CHECK (char_length(title) >= 5 AND char_length(title) <= 100)
public,messages,messages_body_check,c,f,f,CHECK (length(TRIM(BOTH FROM body)) > 0)
public,messages,messages_conversation_id_fkey,f,f,f,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE
public,messages,messages_pkey,p,f,f,PRIMARY KEY (id)
public,messages,messages_sender_profile_id_fkey,f,f,f,FOREIGN KEY (sender_profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,notice_posts,notice_posts_body_check,c,f,f,CHECK (char_length(body) >= 1 AND char_length(body) <= 200)
